Date,Open,High,Low,Close,Volume,Adj Close
2016-02-01,14.05,14.09,10.99,11.16,245945900,11.16
2016-01-04,16.450001,16.59,12.94,14.14,145123900,14.14
2015-12-01,17.52,17.889999,16.50,16.83,81480300,16.83
2015-11-02,16.90,18.09,16.870001,17.43,75064200,17.381067
2015-10-01,15.52,17.440001,14.63,16.780001,88001900,16.732891
2015-09-01,15.95,16.48,15.25,15.58,88059900,15.53626
2015-08-03,17.91,18.07,14.60,16.34,99779500,16.241835
2015-07-01,17.25,18.48,16.219999,17.879999,89618600,17.772581
2015-06-01,16.58,17.719999,16.469999,17.02,79501400,16.917749
2015-05-01,16.00,16.85,15.92,16.50,73876500,16.351828
2015-04-01,15.42,16.049999,15.25,15.93,73454000,15.786947
2015-03-02,15.79,16.620001,15.26,15.39,87119000,15.251797
2015-02-02,15.27,16.790001,15.12,15.81,107090800,15.619184
2015-01-02,17.99,18.030001,14.97,15.15,115560500,14.967149
2014-12-01,16.92,18.209999,16.59,17.889999,80419800,17.674078
2014-11-03,17.18,17.459999,16.83,17.040001,51044600,16.785261
2014-10-01,17.07,17.41,15.43,17.16,99593100,16.903465
2014-09-02,16.139999,17.200001,15.90,17.049999,89160300,16.795109
2014-08-01,15.18,16.459999,14.84,16.09,71206700,15.800754
2014-07-01,15.38,16.23,15.13,15.25,71392900,14.975855
2014-06-02,15.16,15.94,15.05,15.37,62119000,15.093698
2014-05-01,15.14,15.31,14.37,15.14,71820600,14.858271
2014-04-01,17.280001,17.40,14.86,15.14,110828000,14.858271
2014-03-03,16.299999,18.030001,16.190001,17.200001,114257300,16.879938
2014-02-03,16.77,16.92,16.129999,16.530001,114815100,16.212709
2014-01-02,15.69,17.42,15.68,16.75,129563200,16.428486
2013-12-02,15.84,15.97,15.06,15.57,81838900,15.271135
2013-11-01,14.00,15.98,13.80,15.82,105192300,15.506351
2013-10-01,13.85,14.72,13.68,13.97,93637500,13.69303
2013-09-03,14.30,14.83,13.60,13.80,90972500,13.526401
2013-08-01,14.85,14.97,13.98,14.12,91225700,13.830344
2013-07-01,12.95,15.03,12.73,14.60,117692600,14.300498
2013-06-03,13.69,13.73,12.13,12.86,134057000,12.596191
2013-05-01,12.20,13.99,12.05,13.66,140423700,13.369765
2013-04-01,12.15,12.54,11.23,12.31,136690600,12.04845
2013-03-01,11.13,12.94,11.02,12.18,164543000,11.921211
2013-02-01,11.41,12.42,10.98,11.23,179200800,10.991395
2013-01-02,12.05,12.20,11.02,11.32,163806000,11.069529
2012-12-03,9.93,11.69,9.77,11.61,183824500,11.353111
2012-11-01,9.34,9.97,8.92,9.86,155942600,9.632104
2012-10-01,8.87,9.65,8.85,9.32,146514000,9.104585
2012-09-04,8.00,9.79,7.93,8.83,173058400,8.625911
2012-08-01,7.35,8.40,7.10,7.99,104471100,7.795568
2012-07-02,8.20,8.21,6.90,7.34,138117600,7.161386
2012-06-01,7.12,8.22,6.85,8.18,205706700,7.980946
2012-05-01,8.11,8.40,6.72,7.35,201195000,7.171143
2012-04-02,9.54,9.78,7.95,8.11,223249900,7.902013
2012-03-01,8.09,10.10,7.66,9.57,321398600,9.324571
2012-02-01,7.25,8.35,7.21,7.97,311534500,7.765604
2012-01-03,5.75,7.50,5.62,7.13,314075000,6.938591
2011-12-01,5.37,5.95,4.92,5.56,245117000,5.410738
2011-11-01,6.38,6.98,5.03,5.44,290781200,5.29396
2011-10-03,6.08,7.43,5.13,6.83,294758000,6.633561
2011-09-01,8.18,8.18,6.00,6.12,267167500,5.943981
2011-08-01,10.04,10.05,6.01,8.17,394741000,7.93502
2011-07-01,10.98,11.14,9.40,9.71,174631500,9.419113
2011-06-01,11.71,11.74,10.40,10.96,181135700,10.631667
2011-05-02,12.36,12.71,11.29,11.75,126607100,11.388301
2011-04-01,13.45,13.88,12.15,12.28,130723500,11.901985
2011-03-01,14.32,14.70,13.16,13.33,146247600,12.919663
2011-02-01,13.90,14.95,13.79,14.29,154156200,13.840168
2011-01-03,13.85,15.31,13.40,13.73,238471100,13.297796
2010-12-01,11.17,13.49,10.97,13.34,185220100,12.920074
2010-11-01,11.50,12.74,10.91,10.95,199889600,10.595622
2010-10-01,13.22,13.66,11.03,11.45,279162700,11.079441
2010-09-01,12.64,14.06,12.60,13.10,148410000,12.676042
2010-08-02,14.38,14.47,12.18,12.46,144688000,12.047078
2010-07-01,14.32,15.72,13.30,14.04,175718000,13.574717
2010-06-01,15.58,16.10,14.30,14.37,141844500,13.893781
